label,size,time
python,32,0.0076351165771484375
python,64,0.061141252517700195
python,128,0.4429476261138916
python,256,2.890402317047119
python,512,23.828859567642212
python,1024,219.98844289779663
python,32,0.006003379821777344
python,64,0.043799638748168945
python,128,0.3549342155456543
python,256,2.9233922958374023
python,512,24.398491859436035
python,1024,220.62637162208557
python,32,0.005995750427246094
python,64,0.04553627967834473
python,128,0.358630895614624
python,256,2.864792823791504
python,512,24.4551944732666
python,1024,220.76363611221313
python,32,0.00599217414855957
python,64,0.04687213897705078
python,128,0.35245513916015625
python,256,2.885530710220337
python,512,25.03235650062561
python,1024,221.2098777294159
python,32,0.0054972171783447266
python,64,0.044995784759521484
python,128,0.3571341037750244
python,256,2.8596251010894775
python,512,24.502594709396362
python,1024,222.49395203590393
python,32,0.006008625030517578
python,64,0.04499316215515137
python,128,0.36306023597717285
python,256,2.866990327835083
python,512,24.524569272994995
python,1024,221.63412809371948
python,32,0.008001565933227539
python,64,0.046514034271240234
python,128,0.35709547996520996
python,256,2.8830792903900146
python,512,24.49280333518982
python,1024,222.30790424346924
python,32,0.006000518798828125
python,64,0.04399251937866211
python,128,0.3610696792602539
python,256,2.886725425720215
python,512,24.53723692893982
python,1024,220.04917812347412
python,32,0.0
python,64,0.06066155433654785
python,128,0.3613607883453369
python,256,2.8202054500579834
python,512,24.67509436607361
python,1024,224.10956358909607
python,32,0.004998683929443359
python,64,0.045004844665527344
python,128,0.36554908752441406
python,256,2.862495183944702
python,512,24.503576040267944
python,1024,222.79026913642883
python,32,0.005992412567138672
python,64,0.04452943801879883
python,128,0.3615691661834717
python,256,2.870100259780884
python,512,24.818034410476685
python,1024,222.7925100326538
python,2048,2014.45484859
python,4096,18214.3840312
python,8192,164691.59677
O0,32,0.000000
O0,64,0.001000
O0,128,0.007000
O0,256,0.061000
O0,512,0.452000
O0,1024,23.007000
O0,32,0.000000
O0,64,0.000000
O0,128,0.008000
O0,256,0.052000
O0,512,0.406000
O0,1024,22.040000
O0,32,0.000000
O0,64,0.000000
O0,128,0.006000
O0,256,0.052000
O0,512,0.398000
O0,1024,22.473000
O0,32,0.000000
O0,64,0.002000
O0,128,0.007000
O0,256,0.056000
O0,512,0.415000
O0,1024,23.897000
O0,32,0.000000
O0,64,0.001000
O0,128,0.006000
O0,256,0.057000
O0,512,0.408000
O0,1024,22.514000
O0,2048,178.71173741
O0,4096,1336.48094272
O0,8192,9994.76215797
O1,32,0.000000
O1,64,0.001000
O1,128,0.002000
O1,256,0.032000
O1,512,0.805000
O1,1024,10.136000
O1,32,0.000000
O1,64,0.000000
O1,128,0.002000
O1,256,0.034000
O1,512,0.811000
O1,1024,10.276000
O1,32,0.000000
O1,64,0.000000
O1,128,0.001000
O1,256,0.035000
O1,512,0.810000
O1,1024,10.468000
O1,32,0.000000
O1,64,0.000000
O1,128,0.003000
O1,256,0.035000
O1,512,0.801000
O1,1024,10.342000
O1,32,0.000000
O1,64,0.000000
O1,128,0.001000
O1,256,0.030000
O1,512,0.809000
O1,1024,10.315000
O1,2048,131.519437577
O1,4096,1676.9134717
O1,8192,21381.1649698
O2,32,0.000000
O2,64,0.000000
O2,128,0.001000
O2,256,0.035000
O2,512,0.808000
O2,1024,10.418000
O2,32,0.000000
O2,64,0.000000
O2,128,0.002000
O2,256,0.034000
O2,512,0.803000
O2,1024,10.569000
O2,32,0.000000
O2,64,0.000000
O2,128,0.003000
O2,256,0.032000
O2,512,0.818000
O2,1024,10.379000
O2,32,0.000000
O2,64,0.001000
O2,128,0.001000
O2,256,0.034000
O2,512,0.816000
O2,1024,10.302000
O2,32,0.000000
O2,64,0.000000
O2,128,0.003000
O2,256,0.033000
O2,512,0.808000
O2,1024,10.286000
O2,2048,130.942816832
O2,4096,1666.92798754
O2,8192,21220.3233661
O3,32,0.000000
O3,64,0.000000
O3,128,0.001000
O3,256,0.037000
O3,512,0.838000
O3,1024,9.954000
O3,32,0.000000
O3,64,0.000000
O3,128,0.002000
O3,256,0.039000
O3,512,0.833000
O3,1024,10.115000
O3,32,0.000000
O3,64,0.000000
O3,128,0.003000
O3,256,0.037000
O3,512,0.836000
