label,param,size,time
4,2,32,0.000000
4,2,64,0.000000
4,2,128,0.001000
4,2,256,0.005000
4,2,512,0.115000
4,2,1024,1.530000
4,2,2048,14.051000
4,2,4096,147.339000
4,2,32,0.000000
4,2,64,0.001000
4,2,128,0.000000
4,2,256,0.003000
4,2,512,0.096000
4,2,1024,1.554000
4,2,2048,14.037000
4,2,4096,149.592000
4,2,32,0.000000
4,2,64,0.000000
4,2,128,0.001000
4,2,256,0.003000
4,2,512,0.096000
4,2,1024,1.496000
4,2,2048,13.938000
4,2,4096,147.988000
4,2,32,0.000000
4,2,64,0.000000
4,2,128,0.000000
4,2,256,0.003000
4,2,512,0.095000
4,2,1024,1.510000
4,2,2048,14.077000
4,2,4096,148.534000
4,2,32,0.000000
4,2,64,0.000000
4,2,128,0.001000
4,2,256,0.003000
4,2,512,0.095000
4,2,1024,1.586000
4,2,2048,13.954000
4,2,4096,146.939000
4,4,32,0.000000
4,4,64,0.000000
4,4,128,0.000000
4,4,256,0.004000
4,4,512,0.048000
4,4,1024,1.131000
4,4,2048,11.662000
4,4,4096,99.685000
4,4,32,0.000000
4,4,64,0.000000
4,4,128,0.000000
4,4,256,0.003000
4,4,512,0.042000
4,4,1024,1.124000
4,4,2048,11.215000
4,4,4096,99.006000
4,4,32,0.000000
4,4,64,0.000000
4,4,128,0.000000
4,4,256,0.003000
4,4,512,0.042000
4,4,1024,1.093000
4,4,2048,11.474000
4,4,4096,100.120000
4,4,32,0.000000
4,4,64,0.000000
4,4,128,0.001000
4,4,256,0.003000
4,4,512,0.038000
4,4,1024,1.130000
4,4,2048,11.368000
4,4,4096,99.743000
4,4,32,0.000000
4,4,64,0.000000
4,4,128,0.000000
4,4,256,0.003000
4,4,512,0.037000
4,4,1024,1.113000
4,4,2048,11.615000
4,4,4096,100.481000
4,8,32,0.000000
4,8,64,0.000000
4,8,128,0.000000
4,8,256,0.003000
4,8,512,0.034000
4,8,1024,0.772000
4,8,2048,9.594000
4,8,4096,84.805000
4,8,32,0.000000
4,8,64,0.000000
4,8,128,0.000000
4,8,256,0.002000
4,8,512,0.029000
4,8,1024,0.776000
4,8,2048,9.635000
4,8,4096,85.084000
4,8,32,0.000000
4,8,64,0.000000
4,8,128,0.000000
4,8,256,0.003000
4,8,512,0.028000
4,8,1024,0.771000
4,8,2048,9.590000
4,8,4096,84.958000
4,8,32,0.000000
4,8,64,0.000000
4,8,128,0.001000
4,8,256,0.003000
4,8,512,0.029000
4,8,1024,0.760000
4,8,2048,9.711000
4,8,4096,84.745000
4,8,32,0.000000
4,8,64,0.000000
4,8,128,0.000000
4,8,256,0.003000
4,8,512,0.028000
4,8,1024,0.760000
4,8,2048,9.792000
4,8,4096,85.032000
4,16,64,0.000000
4,16,128,0.000000
4,16,256,0.003000
4,16,512,0.033000
